 Q_RATIO(*100)             k         omiga
           Number of iteration         1
     11.279472  0.112182E-07  0.236546E-02
     11.274909  0.146197E-07  0.244777E-01
     11.256254  0.101305E-06  0.129690E+00
     11.128704  0.786722E-06  0.319893E+00
     10.793049  0.270619E-05  0.458869E+00
     10.334221  0.526098E-05  0.545535E+00
      9.808921  0.792326E-05  0.668024E+00
      9.193615  0.105609E-04  0.899525E+00
      8.354251  0.138724E-04  0.146550E+01
      6.576605  0.153116E-04  0.348476E+01
           Number of iteration         2
     11.639216  0.216697E-05  0.245898E+00
     11.477880  0.346674E-05  0.277197E+00
     11.227448  0.495556E-05  0.311305E+00
     10.917203  0.652799E-05  0.353154E+00
     10.571055  0.799856E-05  0.408185E+00
     10.191226  0.935269E-05  0.485396E+00
      9.749293  0.107206E-04  0.611049E+00
      9.188775  0.123401E-04  0.851540E+00
      8.386103  0.148080E-04  0.143196E+01
      6.651801  0.156006E-04  0.351749E+01
           Number of iteration         3
     11.315802  0.200230E-05  0.212302E+00
     11.208593  0.361141E-05  0.231655E+00
     11.054028  0.499636E-05  0.255509E+00
     10.856705  0.636855E-05  0.295276E+00
     10.610101  0.774457E-05  0.354893E+00
     10.300088  0.915958E-05  0.442873E+00
      9.901570  0.106787E-04  0.583447E+00
      9.365730  0.124742E-04  0.841180E+00
      8.570946  0.151641E-04  0.144494E+01
      6.816438  0.162358E-04  0.358837E+01
           Number of iteration         4
     11.288487  0.180547E-05  0.199267E+00
     11.187433  0.329353E-05  0.219463E+00
     11.040755  0.459131E-05  0.243018E+00
     10.852190  0.591309E-05  0.281860E+00
     10.614362  0.728453E-05  0.342355E+00
     10.311551  0.873731E-05  0.433183E+00
      9.917374  0.103333E-04  0.577651E+00
      9.382650  0.122394E-04  0.839739E+00
      8.585225  0.150627E-04  0.144770E+01
      6.819972  0.162512E-04  0.359005E+01
           Number of iteration         5
     11.291693  0.179658E-05  0.199007E+00
     11.190126  0.327478E-05  0.219443E+00
     11.042629  0.456988E-05  0.243133E+00
     10.853171  0.589258E-05  0.281987E+00
     10.614487  0.726747E-05  0.342554E+00
     10.310857  0.872455E-05  0.433525E+00
      9.915921  0.103246E-04  0.578060E+00
      9.380607  0.122336E-04  0.840074E+00
      8.582862  0.150585E-04  0.144779E+01
      6.817647  0.162476E-04  0.358967E+01
